Industry,FileType,ScoreBand,AnchorTSFactor,BankBalanceEODFactor,HighestAmountBorrowedFactor,PBTFactor,LoanCap,EligibleForOD,MaxTenor
Yatra,Thick,3,1,0.9,5,NA,3000000,Yes,NA
Yatra,Thick,4,0.8,0.8,4,NA,2000000,Yes,NA
Yatra,Thick,5,0.7,0.8,3,NA,1500000,Yes,NA
Yatra,Thick,6,0.6,0.7,2,NA,700000,Yes,NA
Yatra,Thick,7,0.5,0.7,2,NA,500000,No,NA
Yatra,Thick,8,NA,NA,NA,NA,NA,NA,NA
Yatra,Thick,9,NA,NA,NA,NA,NA,NA,NA
Yatra,Thick,10,NA,NA,NA,NA,NA,NA,NA
Yatra,Thin,1,1.5,1.25,5,NA,1500000,Yes,NA
Yatra,Thin,2,1.25,1,5,NA,1200000,Yes,NA
Yatra,Thin,3,1,0.9,4,NA,1000000,Yes,NA
Yatra,Thin,4,0.8,0.8,3,NA,700000,Yes,NA
Yatra,Thin,5,0.7,0.8,3,NA,500000,No,NA
Yatra,Thin,6,0.6,0.7,2,NA,300000,No,NA
Yatra,Thin,7,0.5,0.7,1,NA,200000,No,NA
Yatra,Thin,8,0.5,0.7,1,NA,200000,No,NA
Yatra,Thin,9,NA,NA,NA,NA,NA,NA,NA
Yatra,Thin,10,NA,NA,NA,NA,NA,NA,NA
Yatra,No Hit,1,NA,NA,NA,NA,NA,NA,NA
Yatra,No Hit,2,NA,NA,NA,NA,NA,NA,NA
Yatra,No Hit,3,NA,NA,NA,NA,NA,NA,NA
Yatra,No Hit,4,NA,NA,NA,NA,NA,NA,NA
Yatra,No Hit,5,NA,NA,NA,NA,NA,NA,NA
Yatra,No Hit,6,NA,NA,NA,NA,NA,NA,NA
Yatra,No Hit,7,NA,NA,NA,NA,NA,NA,NA
Yatra,No Hit,8,NA,NA,NA,NA,NA,NA,NA
Yatra,No Hit,9,NA,NA,NA,NA,NA,NA,NA
Yatra,No Hit,10,NA,NA,NA,NA,NA,NA,NA
