Pincodes,location_risk_weight,location_band,District/City, GEO_Portfolio_PL_Index 
577541,10,8,Chitradurga,1.422759751
577543,20,10,Chitradurga,10.97230434
577544,20,10,Davangere,9.763320904
577546,20,10,Chitradurga,3.629975851
577547,20,10,Chickmagalur,2.318715121
577548,20,10,Chickmagalur,4.291955468
577551,3,2,Davangere,0.236286075
577552,20,10,Davangere,2.328420793
577589,2,1,Davangere,0.051836551
577598,15,9,Chitradurga,1.758666242
577601,20,10,Davangere,2.235914329
580001,8,7,Dharwad,1.005426637
580002,5,3,Dharwad,0.441467858
580003,7,6,Dharwad,0.870775193
580004,10,8,Dharwad,1.313491852
580005,3,2,Dharwad,0.28250274
580006,2,1,Dharwad,0.146249695
580007,7,6,Dharwad,0.96916353
580008,6,4,Dharwad,0.659136897
580009,8,7,Dharwad,1.023168876
580011,6,4,Dharwad,0.774481608
580020,8,7,Dharwad,1.006925126
580021,15,9,Dharwad,1.517509271
580023,6,4,Dharwad,0.822876224
580024,10,8,Dharwad,1.393629287
580025,15,9,Dharwad,1.525187235
580026,6,4,Dharwad,0.642711317
580028,15,9,Dharwad,1.64793704
580029,10,8,Dharwad,1.314074486
580030,8,7,Dharwad,1.040683027
580031,10,8,Dharwad,1.221585358
580032,6,4,Dharwad,0.727498517
580112,6,4,Dharwad,0.710673305
580114,6,4,Dharwad,0.578393717
581101,20,10,Haveri,2.671071392
581102,15,9,Haveri,1.570316066
581103,20,10,Dharwad,2.765543924
581104,15,9,Haveri,1.671662101
581105,8,7,Dharwad,1.18146945
581106,15,9,Haveri,1.674284491
581109,20,10,Haveri,2.160071763
581110,15,9,Haveri,1.981878117
581111,20,10,Haveri,2.341372753
581113,20,10,Dharwad,2.502389044
581115,15,9,Haveri,1.655664414
581116,20,10,Haveri,4.335692142
581118,7,6,Haveri,0.846955553
581120,8,7,Haveri,1.072001169
581121,2,1,Uttara Kannada,0.020780957
581123,20,10,Haveri,2.223875604
581202,15,9,Haveri,1.69080795
581204,10,8,Dharwad,1.365801354
581205,6,4,Haveri,0.814483838
581206,20,10,Dharwad,2.185135773
581207,20,10,Dharwad,3.597731451
581210,8,7,Haveri,1.016220506
581213,15,9,Haveri,1.584734374
581301,8,7,Uttara Kannada,1.053406449
