pincode,city,state,Tier,ExtraPricing
824213,Aurangabad(BH),Bihar,Tier2,2
824216,Aurangabad(BH),Bihar,Tier2,2
824217,Gaya,Bihar,Tier4,2
824218,Aurangabad(BH),Bihar,Tier2,2
824231,Gaya,Bihar,Tier4,2
824232,Gaya,Bihar,Tier4,2
824233,Gaya,Bihar,Tier4,2
824234,Gaya,Bihar,Tier4,2
824235,Gaya,Bihar,Tier4,2
824236,Gaya,Bihar,Tier4,2
824237,Gaya,Bihar,Tier4,2
824301,Aurangabad(BH),Bihar,Tier2,2
824302,Aurangabad(BH),Bihar,Tier2,2
824303,Aurangabad(BH),Bihar,Tier2,2
825101,Ramgarh,Jharkhand,Tier4,2
825102,Palamau,Jharkhand,Tier4,2
825103,Chatra,Jharkhand,Tier4,2
825106,Hazaribag,Jharkhand,Tier4,2
825108,Giridh,Jharkhand,Tier4,2
825109,Koderma,Jharkhand,Tier4,2
825132,Koderma,Jharkhand,Tier4,2
825167,Giridh,Jharkhand,Tier4,2
825301,Hazaribag,Jharkhand,Tier4,2
825302,Hazaribag,Jharkhand,Tier4,2
825303,Hazaribag,Jharkhand,Tier4,2
825311,Hazaribag,Jharkhand,Tier4,2
825312,Hazaribag,Jharkhand,Tier4,2
825313,Hazaribag,Jharkhand,Tier4,2
825314,Hazaribag,Jharkhand,Tier4,2
825315,Bokaro,Jharkhand,Tier4,2
825316,Ramgarh,Jharkhand,Tier4,2
825317,Hazaribag,Jharkhand,Tier4,2
825318,Koderma,Jharkhand,Tier4,2
825319,Hazaribag,Jharkhand,Tier4,2
825320,Hazaribag,Jharkhand,Tier4,2
825321,Chatra,Jharkhand,Tier4,2
825322,Bokaro,Jharkhand,Tier4,2
825323,Hazaribag,Jharkhand,Tier4,2
825324,Giridh,Jharkhand,Tier4,2
825325,Ramgarh,Jharkhand,Tier4,2
825326,Ramgarh,Jharkhand,Tier4,2
825329,Giridh,Jharkhand,Tier4,2
825330,Ramgarh,Jharkhand,Tier4,2
825336,Hazaribag,Jharkhand,Tier4,2
825401,Chatra,Jharkhand,Tier4,2
825402,Hazaribag,Jharkhand,Tier4,2
825403,Chatra,Jharkhand,Tier4,2
825404,Chatra,Jharkhand,Tier4,2
825405,Hazaribag,Jharkhand,Tier4,2
825406,Hazaribag,Jharkhand,Tier4,2
825407,Koderma,Jharkhand,Tier4,2
825408,Chatra,Jharkhand,Tier4,2
825409,Hazaribag,Jharkhand,Tier4,2
825410,Koderma,Jharkhand,Tier4,2
825411,Hazaribag,Jharkhand,Tier4,2
825412,Giridh,Jharkhand,Tier4,2
825413,Koderma,Jharkhand,Tier4,2
825418,Koderma,Jharkhand,Tier4,2
825421,Koderma,Jharkhand,Tier4,2
826001,Dhanbad,Jharkhand,Tier4,2
826003,Dhanbad,Jharkhand,Tier4,2
826004,Dhanbad,Jharkhand,Tier4,2
826005,Dhanbad,Jharkhand,Tier4,2
826106,Dhanbad,Jharkhand,Tier4,2
826124,Dhanbad,Jharkhand,Tier4,2
827001,Bokaro,Jharkhand,Tier4,2
827003,Bokaro,Jharkhand,Tier4,2
827004,Bokaro,Jharkhand,Tier4,2
827006,Bokaro,Jharkhand,Tier4,2
